"","Surveillance.Network","Season","MMWR.Year","MMWR.Week","Age.group","Sex","Race.Ethnicity","Site","Weekly.Rate","Cumulative.Rate","Week.Ending.Date"
"139","FluSurv-NET","2022-23",2023,"2","Overall","Overall","Overall","Overall",1.3,57.4,"2023-01-14T00:00:00.000"
"140","FluSurv-NET","2022-23",2023,"3","Overall","Overall","Overall","Overall",0.8,58.2,"2023-01-21T00:00:00.000"
"141","FluSurv-NET","2022-23",2023,"4","Overall","Overall","Overall","Overall",0.5,58.7,"2023-01-28T00:00:00.000"
"142","FluSurv-NET","2022-23",2023,"5","Overall","Overall","Overall","Overall",0.4,59.1,"2023-02-04T00:00:00.000"
"143","FluSurv-NET","2022-23",2023,"6","Overall","Overall","Overall","Overall",0.3,59.4,"2023-02-11T00:00:00.000"
"144","FluSurv-NET","2022-23",2023,"7","Overall","Overall","Overall","Overall",0.3,59.8,"2023-02-18T00:00:00.000"
"145","FluSurv-NET","2022-23",2023,"8","Overall","Overall","Overall","Overall",0.3,60,"2023-02-25T00:00:00.000"
"146","FluSurv-NET","2022-23",2023,"9","Overall","Overall","Overall","Overall",0.2,60.3,"2023-03-04T00:00:00.000"
"147","FluSurv-NET","2022-23",2023,"10","Overall","Overall","Overall","Overall",0.3,60.5,"2023-03-11T00:00:00.000"
"148","FluSurv-NET","2022-23",2023,"11","Overall","Overall","Overall","Overall",0.3,60.8,"2023-03-18T00:00:00.000"
"149","FluSurv-NET","2022-23",2023,"12","Overall","Overall","Overall","Overall",0.3,61,"2023-03-25T00:00:00.000"
"150","FluSurv-NET","2022-23",2023,"13","Overall","Overall","Overall","Overall",0.2,61.3,"2023-04-01T00:00:00.000"
"151","FluSurv-NET","2022-23",2023,"14","Overall","Overall","Overall","Overall",0.2,61.5,"2023-04-08T00:00:00.000"
"152","FluSurv-NET","2022-23",2023,"15","Overall","Overall","Overall","Overall",0.2,61.7,"2023-04-15T00:00:00.000"
"153","FluSurv-NET","2022-23",2023,"16","Overall","Overall","Overall","Overall",0.2,61.9,"2023-04-22T00:00:00.000"
"154","FluSurv-NET","2022-23",2023,"17","Overall","Overall","Overall","Overall",0.1,62.1,"2023-04-29T00:00:00.000"
"155","FluSurv-NET","2022-23",2023,"18","Overall","Overall","Overall","Overall",0,62.1,"2023-05-06T00:00:00.000"
"156","FluSurv-NET","2023-24",2023,"40","Overall","Overall","Overall","Overall",0.2,0.2,"2023-10-07T00:00:00.000"
"157","FluSurv-NET","2023-24",2023,"41","Overall","Overall","Overall","Overall",0.2,0.4,"2023-10-14T00:00:00.000"
"158","FluSurv-NET","2023-24",2023,"42","Overall","Overall","Overall","Overall",0.3,0.7,"2023-10-21T00:00:00.000"
"159","FluSurv-NET","2023-24",2023,"43","Overall","Overall","Overall","Overall",0.2,0.9,"2023-10-28T00:00:00.000"
"160","FluSurv-NET","2023-24",2023,"44","Overall","Overall","Overall","Overall",0.4,1.4,"2023-11-04T00:00:00.000"
"161","FluSurv-NET","2023-24",2023,"45","Overall","Overall","Overall","Overall",0.8,2.1,"2023-11-11T00:00:00.000"
"162","FluSurv-NET","2023-24",2023,"46","Overall","Overall","Overall","Overall",0.9,3,"2023-11-18T00:00:00.000"
"163","FluSurv-NET","2023-24",2023,"47","Overall","Overall","Overall","Overall",1.3,4.3,"2023-11-25T00:00:00.000"
"164","FluSurv-NET","2023-24",2023,"48","Overall","Overall","Overall","Overall",2.1,6.4,"2023-12-02T00:00:00.000"
"165","FluSurv-NET","2023-24",2023,"49","Overall","Overall","Overall","Overall",2.8,9.2,"2023-12-09T00:00:00.000"
"166","FluSurv-NET","2023-24",2023,"50","Overall","Overall","Overall","Overall",4.1,13.3,"2023-12-16T00:00:00.000"
"167","FluSurv-NET","2023-24",2023,"51","Overall","Overall","Overall","Overall",6.6,19.9,"2023-12-23T00:00:00.000"
"168","FluSurv-NET","2023-24",2023,"52","Overall","Overall","Overall","Overall",8.9,28.8,"2023-12-30T00:00:00.000"
"169","FluSurv-NET","2023-24",2024,"1","Overall","Overall","Overall","Overall",6.7,35.5,"2024-01-06T00:00:00.000"
"170","FluSurv-NET","2023-24",2024,"2","Overall","Overall","Overall","Overall",5.4,40.9,"2024-01-13T00:00:00.000"
"171","FluSurv-NET","2023-24",2024,"3","Overall","Overall","Overall","Overall",4.1,44.9,"2024-01-20T00:00:00.000"
"172","FluSurv-NET","2023-24",2024,"4","Overall","Overall","Overall","Overall",3.8,48.8,"2024-01-27T00:00:00.000"
"173","FluSurv-NET","2023-24",2024,"5","Overall","Overall","Overall","Overall",2.7,51.5,"2024-02-03T00:00:00.000"
